# Incident: The name or title of the UFO incident.
# Year: The year in which the UFO incident occurred.
# Location: The location where the UFO incident took place.
# Description: A brief description or summary of the UFO incident.
# Witnesses: The individuals or groups who witnessed the UFO incident.
# References: Any relevant sources or references related to the UFO incident for further investigation or verification.
# Type: The type or nature of the UFO incident, such as sighting, encounter, abduction, crash retrieval, etc.
# Classification: The classification or categorization of the UFO incident, such as military, civilian, scientific, etc.
# Debunked: Indicates whether the UFO incident has been debunked or disproven.
# Evidence: Any available evidence or supporting materials related to the UFO incident, such as photographs, videos, physical traces, etc.
# Investigations: Any official or unofficial investigations conducted regarding the UFO incident.
# Reports: Any official reports or documentation produced as a result of the investigations into the UFO incident.
# Credibility: An assessment of the credibility or reliability of the UFO incident based on available information, including witness testimonies, investigations, evidence, etc.
#
"Incident","Year","Location","Description","Witnesses","References","Type","Classification","Debunked","Evidence","Investigations","Reports","Credibility"
"The Belgium UFO Wave","1989-1991","Belgium","Wave of sightings of large, triangular UFOs over Belgium, involving multiple witnesses and military investigations.","Multiple eyewitnesses and Belgian Air Force personnel","N/A","Close Encounter","Military and Civilian","Not debunked","N/A","N/A","N/A","High"
"The JAL Flight 1628 Incident","1986","Alaska","The crew of Japan Airlines Flight 1628 reported a large, unidentified object flying alongside their aircraft over Alaska, with radar confirmation from Air Traffic Control.","Flight crew, Air Traffic Control","N/A","Distant Observation","Military and Civilian","Not debunked","N/A","N/A","N/A","High"
"The Phoenix Lights","1997","Phoenix, Arizona","A formation of lights seen in the sky over Phoenix, observed by thousands of witnesses.","Multiple eyewitnesses","N/A","Distant Observation","Civilian","Not debunked","N/A","N/A","N/A","High"
"The Tether Incident","1996","Space (NASA mission)","During a NASA space shuttle mission, footage captured long, tubular objects appearing near the tether of a satellite, leading to debates about their nature and origin.","NASA astronauts","N/A","Distant Observation","Scientific","Not debunked","N/A","N/A","N/A","High"
"The Belgium Triangle","1990","Belgium","Continued reports of triangular UFOs observed in Belgium, prompting widespread investigations and prompting the Belgian Air Force to release a report on the phenomenon.","Multiple eyewitnesses","N/A","Distant Observation","Military and Civilian","Not debunked","N/A","N/A","N/A","High"
"The Roswell Incident II","2002","Roswell, New Mexico","Ongoing interest and investigations into the alleged UFO crash in Roswell in 1947, including new witness testimonies and documents.","Various witnesses and researchers","N/A","Crash Retrieval","Civilian","Not debunked","N/A","N/A","N/A","High"
"The O'Hare International Airport Sighting","2006","Chicago, Illinois","Multiple airport personnel and witnesses reported a saucer-shaped object hovering over O'Hare International Airport, briefly disrupting operations.","Multiple airport personnel and witnesses","N/A","Distant Observation","Civilian","Not debunked","N/A","N/A","N/A","High"
"The Nimitz UFO Encounter","2004","Pacific Ocean","U.S. Navy personnel aboard the USS Nimitz witnessed and recorded encounters with unidentified aerial objects, known as the Tic-Tac incident.","U.S. Navy personnel","N/A","Distant Observation","Military","Not debunked","N/A","N/A","N/A","High"
"The Aguadilla Incident","2013","Aguadilla, Puerto Rico","U.S. Customs and Border Protection agents observed and tracked a low-flying, unidentified object over the ocean, exhibiting extraordinary flight capabilities.","U.S. Customs and Border Protection agents","N/A","Distant Observation","Military","Not debunked","N/A","N/A","N/A","High"
"The USS Roosevelt UFO Incident","2019","Atlantic Ocean","Multiple U.S. Navy personnel aboard the USS Roosevelt encountered and recorded unidentified aerial objects, leading to the release of official videos.","U.S. Navy personnel","N/A","Distant Observation","Military","Not debunked","N/A","N/A","N/A","High"
"The Westall UFO Encounter","1966","Melbourne, Australia","An incident where more than 200 witnesses, including students and teachers, reported seeing a silver disc-shaped object hover near a school, landing in a nearby field.","Multiple witnesses including students and teachers","Insert references","UFO sighting","High credibility","Not debunked","Multiple witness testimonies, photographs","Investigations conducted by researchers and media","Reports available","High"
"The Rendlesham Forest Incident","1980","Suffolk, England","An incident near the RAF Woodbridge military base where U.S. Air Force personnel witnessed strange lights in the forest and encountered a metallic craft. The event involved multiple witnesses, including high-ranking military personnel.","U.S. Air Force personnel, military witnesses","Insert references","UFO sighting","High credibility","Not debunked","Witness testimonies, military documents","Investigations conducted by military and researchers","Reports available","High"
"Varginha UFO Incident",1996,"Varginha, Brazil","In January 1996, multiple witnesses in Varginha claimed to have encountered strange creatures and a crashed UFO. Witnesses described small beings with red eyes and a strong smell. Authorities, including the military, were allegedly involved in capturing the creatures and recovering the UFO wreckage.",Multiple witnesses,"Various testimonies, media reports, investigations","Close Encounter","Civilian","Controversial","Witness testimonies, alleged physical evidence","Official investigations conducted by Brazilian military and authorities","Multiple reports and articles available","Divided opinions"
"Ariel School Incident",1994,"Ruwa, Zimbabwe","A UFO sighting at Ariel School in Ruwa, Zimbabwe, witnessed by multiple school children who reported seeing a spacecraft and beings.","Multiple school children","Insert references","Close Encounter","Civilian","Not debunked","N/A","N/A","N/A","High"
"The Ruaumoko Lights",1978,"Kaikoura, New Zealand","Lights observed by a New Zealand film crew during the filming of a documentary, capturing footage of unidentified aerial phenomena in the vicinity of Kaikoura.","Film crew","Insert references","Distant Observation","Civilian","Not debunked","N/A","N/A","N/A","High"
